mH,ggH,VBF,WH,ZH,ttH,bbH,total
120.00,5.222E+01,3.935E+00,1.565E+00,9.939E-01,5.697E-01,5.534E-01,5.992E+01
120.50,5.184E+01,3.919E+00,1.545E+00,9.829E-01,5.625E-01,5.471E-01,5.948E+01
121.00,5.146E+01,3.904E+00,1.524E+00,9.705E-01,5.568E-01,5.414E-01,5.904E+01
121.50,5.108E+01,3.888E+00,1.505E+00,9.591E-01,5.502E-01,5.343E-01,5.860E+01
122.00,5.071E+01,3.873E+00,1.486E+00,9.485E-01,5.438E-01,5.268E-01,5.817E+01
122.50,5.035E+01,3.858E+00,1.466E+00,9.371E-01,5.375E-01,5.200E-01,5.775E+01
123.00,4.998E+01,3.842E+00,1.446E+00,9.266E-01,5.315E-01,5.124E-01,5.732E+01
123.50,4.963E+01,3.827E+00,1.427E+00,9.157E-01,5.259E-01,5.066E-01,5.691E+01
124.00,4.927E+01,3.812E+00,1.408E+00,9.051E-01,5.193E-01,4.999E-01,5.649E+01
124.10,4.920E+01,3.809E+00,1.405E+00,9.037E-01,5.179E-01,4.985E-01,5.641E+01
124.20,4.913E+01,3.806E+00,1.401E+00,9.008E-01,5.167E-01,4.976E-01,5.633E+01
124.30,4.906E+01,3.803E+00,1.398E+00,8.988E-01,5.161E-01,4.955E-01,5.625E+01
124.40,4.899E+01,3.800E+00,1.394E+00,8.964E-01,5.143E-01,4.950E-01,5.617E+01
124.50,4.892E+01,3.797E+00,1.390E+00,8.943E-01,5.132E-01,4.930E-01,5.608E+01
124.60,4.885E+01,3.794E+00,1.387E+00,8.923E-01,5.122E-01,4.918E-01,5.600E+01
124.70,4.878E+01,3.791E+00,1.383E+00,8.902E-01,5.115E-01,4.919E-01,5.593E+01
124.80,4.871E+01,3.788E+00,1.380E+00,8.884E-01,5.100E-01,4.899E-01,5.584E+01
124.90,4.864E+01,3.785E+00,1.376E+00,8.858E-01,5.086E-01,4.891E-01,5.576E+01
125.00,4.858E+01,3.782E+00,1.373E+00,8.839E-01,5.071E-01,4.880E-01,5.571E+01
125.09,4.852E+01,3.779E+00,1.369E+00,8.824E-01,5.065E-01,4.863E-01,5.562E+01
125.10,4.851E+01,3.779E+00,1.369E+00,8.819E-01,5.060E-01,4.860E-01,5.561E+01
125.20,4.844E+01,3.776E+00,1.365E+00,8.800E-01,5.052E-01,4.850E-01,5.553E+01
125.30,4.837E+01,3.773E+00,1.362E+00,8.783E-01,5.043E-01,4.833E-01,5.545E+01
125.40,4.830E+01,3.770E+00,1.358E+00,8.767E-01,5.033E-01,4.822E-01,5.537E+01
125.50,4.823E+01,3.767E+00,1.355E+00,8.744E-01,5.023E-01,4.809E-01,5.529E+01
125.60,4.816E+01,3.764E+00,1.351E+00,8.728E-01,5.007E-01,4.792E-01,5.520E+01
125.70,4.810E+01,3.761E+00,1.347E+00,8.703E-01,4.993E-01,4.789E-01,5.513E+01
125.80,4.803E+01,3.758E+00,1.344E+00,8.690E-01,4.982E-01,4.768E-01,5.505E+01
125.90,4.796E+01,3.755E+00,1.341E+00,8.668E-01,4.971E-01,4.757E-01,5.497E+01
126.00,4.789E+01,3.752E+00,1.337E+00,8.649E-01,4.964E-01,4.760E-01,5.489E+01
126.50,4.756E+01,3.738E+00,1.320E+00,8.549E-01,4.909E-01,4.695E-01,5.451E+01
127.00,4.723E+01,3.723E+00,1.304E+00,8.446E-01,4.851E-01,4.635E-01,5.413E+01
127.50,4.690E+01,3.708E+00,1.287E+00,8.350E-01,4.799E-01,4.580E-01,5.374E+01
128.00,4.658E+01,3.694E+00,1.271E+00,8.255E-01,4.742E-01,4.513E-01,5.337E+01
128.50,4.625E+01,3.680E+00,1.255E+00,8.161E-01,4.689E-01,4.463E-01,5.299E+01
129.00,4.594E+01,3.665E+00,1.239E+00,8.073E-01,4.639E-01,4.416E-01,5.263E+01
129.50,4.562E+01,3.651E+00,1.224E+00,7.980E-01,4.586E-01,4.358E-01,5.226E+01
130.00,4.531E+01,3.637E+00,1.209E+00,7.899E-01,4.539E-01,4.304E-01,5.190E+01  
